"Name","UAE Routing Code Agent ID","Bank Identifier Code","Country"
"U.A.E. Exchange Centre - LLC.- Dubai","929110101","","United Arab Emirates"
"UNION NATIONAL BANK","804510183","","United Arab Emirates"
"UNITED ARAB BANK","904630101","","United Arab Emirates"
"UNITED BANK LTD.","604720106","","United Arab Emirates"
"Union Exchange-Abu Dhabi","829210101","","United Arab Emirates"
"Universal Exchange Centre - Dubai","729310101","","United Arab Emirates"
"Wall Street Exchange Centre - LLCDubai","629410101","","United Arab Emirates"
"Waseela Equity","440310101","","United Arab Emirates"
"Western Union","540210101","","United Arab Emirates"
"Workers Equity Holdings","340410101","","United Arab Emirates"
"Zahra Al Yousuf Exchange- Dubai","529510101","","United Arab Emirates"
"Zareen Exchange","630410101","","United Arab Emirates"
